z,exact_sigmoid,poly_sigmoid
[-1.02774751 -0.4046484   0.1761105 ],[0.26352103 0.40019603 0.54391418],[0.22721915 0.39638179 0.5435624 ]
[-1.39915084 -0.62701132  0.60930371],[0.19795089 0.34818852 0.64778195],[0.12084794 0.33735002 0.64675716]
[ 2.35536904  0.67816706 -2.77339371],[0.91336004 0.66332948 0.05877898],[ 1.00562581  0.66264311 -0.30872412]
[-0.28406945  0.49270133 -0.05047637],[0.42945638 0.62074259 0.48738359],[0.42777221 0.61953401 0.48734269]
[ 1.94717387  0.47980698 -1.65607806],[0.87513815 0.6177023  0.16028917],[0.92992118 0.61649852 0.04484157]
[ 0.90430898  0.19826835 -1.31813859],[0.71183419 0.54940535 0.21112815],[0.71381062 0.54897743 0.14440301]
[ 0.19538138  0.68967991 -0.26935829],[0.54869055 0.66589572 0.43306464],[0.54827274 0.6652851  0.43157212]
[-0.90284219 -0.6410101   0.71233033],[0.28846678 0.34501824 0.67091587],[0.26206259 0.33358406 0.67047137]
[-0.75016435  0.87165757  0.35025439],[0.32078549 0.70509049 0.58667927],[0.30401771 0.70651759 0.58572343]
[ 0.38079798  0.69992062 -0.66898631],[0.59406555 0.66817017 0.33872386],[0.59302439 0.66763182 0.32604028]
[-1.14781098 -0.94901334  0.42502372],[0.24088914 0.27908329 0.60468476],[0.1932852  0.24923727 0.60354625]
[ 1.05566803  0.03139407 -1.16053591],[0.74186183 0.50784787 0.23856992],[0.74720048 0.50783373 0.18966337]
[ 2.88286825  1.54427969 -3.18941264],[0.94699303 0.82408601 0.03956609],[ 1.09605312  0.85029793 -0.44993845]
[ 0.04058924  0.62170607 -0.50485171],[0.51014592 0.65060647 0.37640118],[0.5101226  0.64962874 0.36996394]
[-1.61137099 -0.91200575  0.9148592 ],[0.16639836 0.28658957 0.71399348],[0.0582095  0.25952224 0.71616029]
[ 1.15229181  0.10667081 -1.4981919 ],[0.75992928 0.52664244 0.18269535],[0.76815631 0.52649702 0.09178334]
[ 3.224507    1.87922345 -3.04732754],[0.96174617 0.8675219  0.04533299],[ 1.15016507  0.91683365 -0.40112496]
[ 2.09634726  0.6576754  -2.20819338],[0.89054764 0.65873801 0.09901713],[ 0.95816674  0.6579308  -0.12519012]
[ 1.73653652  0.63829388 -2.11645519],[0.8502466  0.65436769 0.10750772],[ 0.88890074  0.65346218 -0.09630454]
[-0.55585987 -0.3006213  -0.04626149],[0.36450594 0.42540561 0.48843669],[0.35640033 0.42348908 0.48840253]
[-0.730973    0.06080059 -0.00711513],[0.32498125 0.51519547 0.49822122],[0.30924193 0.5151447  0.49822046]
[-0.27005476  0.08740555 -0.37523512],[0.43289365 0.52183749 0.40727664],[0.43139237 0.52173679 0.4040792 ]
[ 0.86070711  0.72187199 -1.45265119],[0.70280837 0.67301911 0.18959388],[0.70406453 0.67265151 0.10518427]
[-1.73886136 -0.29636963  0.82879789],[0.14945762 0.4264452  0.69610069],[0.01993008 0.42459007 0.69689588]
[-0.03939647 -0.36300742 -0.47517354],[0.49015216 0.41023175 0.38339247],[0.4901276  0.40727153 0.37781977]
[-0.46837386 -0.44554078  0.02396576],[0.3850012  0.39042151 0.50599115],[0.37961592 0.38563721 0.50598282]
[ 1.90195728  1.38300515 -1.86615064],[0.87011289 0.79947321 0.13398775],[ 0.9212277   0.81706074 -0.01877543]
[-0.9889378  -0.31805063  0.27589748],[0.27112193 0.4211509  0.56854015],[0.23809558 0.41897    0.56783258]
[ 2.59554851  1.46403052 -1.94137823],[0.93057454 0.81214836 0.12549652],[ 1.04783405  0.83385685 -0.0418788 ]
[ 2.28414047  0.47611564 -2.61553926],[0.90755501 0.61683022 0.06814501],[ 0.99277565  0.61562862 -0.2565005 ]
[-1.7836808  -1.20311563  0.88768107],[0.14384922 0.23092143 0.7084114 ],[0.00635704 0.17750878 0.7101006 ]
[-0.9582926   0.19179603  0.4456751 ],[0.27722018 0.54780256 0.60961046],[0.24665198 0.54739722 0.60843938]
[ 1.5526347   0.91301467 -2.11443986],[0.82529394 0.71361666 0.10770124],[ 0.85199856  0.71574973 -0.0956728 ]
[ 2.03742926  1.06785303 -1.76306696],[0.88467124 0.74418841 0.14640664],[0.94709055 0.74985861 0.01260718]
[ 1.14082941  0.53511332 -1.9274179 ],[0.75783189 0.63067492 0.12703666],[ 0.76568498  0.62948314 -0.03757857]
[ 0.08014549  0.98759567 -0.72749776],[0.52002565 0.72861276 0.32574407],[0.51994002 0.73226874 0.31018677]
[-0.97414725 -0.41985899  0.23981588],[0.27405464 0.39655049 0.55966828],[0.24222874 0.39239103 0.5590913 ]
[-0.64457185  0.60087351  0.23539256],[0.3442138  0.64585613 0.55857791],[0.33262494 0.64480264 0.558017  ]
[-1.55966173 -0.41571838  0.82041361],[0.17369519 0.39754176 0.69432413],[0.0735964  0.39347808 0.69500722]
[-0.31080722 -0.18061495 -0.02686045],[0.42291772 0.45496861 0.49328529],[0.42084918 0.45435694 0.49327407]
[-1.02908643 -0.57218323  0.12381841],[0.26326126 0.36073321 0.53091512],[0.22684311 0.35204329 0.53072464]
[ 0.80304161  0.92101838 -1.41261164],[0.69062474 0.71524956 0.19582246],[0.69108727 0.71753047 0.11691502]
[-0.55892963  0.29079685  0.20069395],[0.36379516 0.5721912  0.55000575],[0.35558156 0.57143077 0.54956932]
[ 0.5197318   1.59186968 -0.9999035 ],[0.62708505 0.83087899 0.26896039],[0.62588113 0.85995668 0.23502702]
[-0.97301031 -0.79529116  0.41124546],[0.27428089 0.31103369 0.60138648],[0.24254619 0.29168989 0.60027452]
[ 2.03453279  0.62155339 -2.21619489],[0.88437539 0.65057176 0.09830558],[ 0.94654334  0.64959342 -0.12772152]
[ 1.15131571  0.51055338 -1.35236669],[0.75975115 0.62493619 0.20548372],[0.76794601 0.62372837 0.13447489]
[-1.30071471  0.33881396  0.69868817],[0.21404476 0.58390239 0.66789686],[0.14944344 0.58298157 0.66734956]
[ 3.46485869  1.07639315 -2.92429822],[0.96967118 0.74581081 0.0509654 ],[ 1.18613599  0.75171895 -0.35934736]
[ 0.664904    0.82932639 -0.71619765],[0.66036114 0.69621248 0.32823084],[0.65959454 0.69701486 0.3132565 ]
[-1.55362438 -0.54233492  0.75924934],[0.17456341 0.36764459 0.68119073],[0.07538768 0.36000436 0.68116544]
[ 1.35260109  0.57803815 -1.99382992],[0.79455455 0.64061586 0.11985226],[ 0.81070733  0.63949762 -0.05808785]
[ 0.26673367  0.09951092 -0.45722949],[0.56629085 0.52485722 0.38764327],[0.56561622 0.52472919 0.38255674]
[-2.12994484 -0.61371014  0.86136358],[0.10622023 0.35121333 0.70294547],[-0.10053618  0.34092286  0.70421169]
[-1.50477637 -0.22543147  0.67853321],[0.18171423 0.4438796  0.66341125],[0.08984063 0.44287984 0.66272719]
[-1.12828869 -0.94140249  0.57905529],[0.24447706 0.28061713 0.64085   ],[0.1988323  0.2513558  0.63973425]
[ 1.09504658 -0.11067815 -2.32490738],[0.74933083 0.47235867 0.08908104],[ 0.75577474  0.47214672 -0.16230476]
[-1.56801935 -0.46186426  0.80400524],[0.17249893 0.38654366 0.69083059],[0.07111489 0.38133416 0.69130494]
[-0.90374209  0.17319999  0.37372517],[0.2882821  0.54319208 0.5923588 ],[0.26181323 0.54285002 0.59133623]
[ 0.0372433  -0.00456954  0.98222458],[0.50930975 0.49885762 0.7275494 ],[0.50929002 0.4988573  0.73108467]
[-0.70226788 -0.07978764  0.3028754 ],[0.3313096  0.48006366 0.57514528],[0.31703533 0.4799576  0.57434285]
[-0.015352    0.22000372 -0.27298315],[0.49616207 0.55478015 0.43217488],[0.49615846 0.5542749  0.43063642]
[-1.97610148 -0.43856484  1.38308311],[0.12173504 0.39208299 0.7994857 ],[-0.05260002  0.3874737   0.81707699]
[ 0.29549649  1.19140642 -0.32546771],[0.57334123 0.76699251 0.41934381],[0.57256435 0.77655987 0.41704413]
[ 0.12655183  1.47344578 -0.37617209],[0.5315958  0.81358056 0.40705047],[0.53139773 0.83579581 0.4038344 ]
[ 0.09142597  0.69762057 -0.25696258],[0.52284059 0.66766001 0.43611052],[0.52273111 0.66710502 0.43476891]
[-1.08755792  0.84334028  0.63900354],[0.25207842 0.69916825 0.65452818],[0.21036879 0.70016673 0.653626  ]
[ 1.92281421  1.77241091 -2.03291425],[0.87245193 0.85475724 0.11579022],[ 0.92524534  0.89598112 -0.07021967]
[-0.6763369  -0.054293    0.12998715],[0.33707936 0.48643008 0.53245111],[0.3240543  0.48638253 0.53224334]
[ 1.86143725  1.00149151 -2.30294456],[0.86546438 0.73135173 0.09087939],[ 0.91338508  0.7353281  -0.15528944]
[ 1.00653587  0.94576433 -1.49149043],[0.73234167 0.72026255 0.18369813],[0.73643725 0.72302403 0.09375924]
[ 0.98635432  0.96950404 -1.7085172 ],[0.72836723 0.72502063 0.15335614],[0.73199516 0.72827694 0.02908524]
[ 0.43133376  0.88561409 -0.57035964],[0.60619211 0.70798425 0.36115384],[0.60504271 0.70963884 0.35253044]
[ 2.87306008  0.85593321 -3.19173557],[0.94649852 0.70181029 0.03947792],[ 1.09444791  0.70299398 -0.45074153]
[ 3.60938644  2.58021709 -3.6939219 ],[0.97364494 0.92957748 0.02427054],[ 1.20693155  1.04519147 -0.62815636]
[-0.57338147  0.4148543  -0.15117411],[0.36045693 0.60225128 0.46227828],[0.35172314 0.60113201 0.46186367]
[ 0.6322504   1.01461187 -0.93958429],[0.65299956 0.73392173 0.28098432],[0.65206649 0.73821141 0.25186165]
[ 0.03503349  0.42851714 -0.39916671],[0.50875748 0.60551952 0.40151256],[0.50873996 0.60437488 0.39781831]
[-0.67235833 -0.4973457  -0.09419722],[0.33796897 0.37816464 0.47646809],[0.32512943 0.37195328 0.4763176 ]
[-1.63190284 -0.93728404  0.90252194],[0.16356986 0.28144928 0.71146749],[0.05207769 0.25250147 0.7134123 ]
[-0.72954745 -0.33405465  0.28402259],[0.32529405 0.41725439 0.57053214],[0.30962955 0.41481245 0.56979561]
[ 0.62261867  0.36287566 -1.08016376],[0.65081389 0.58973637 0.25347503],[0.64983986 0.58874373 0.21245775]
[ 0.04658647  1.32670179 -0.38134002],[0.51164451 0.79029455 0.40580374],[0.51161406 0.80527338 0.40248369]
[-0.98204539  0.05553119  0.35925658],[0.27248612 0.51387923 0.58886046],[0.24002246 0.51383654 0.58787817]
[ 1.05954212  1.67443704 -1.04571002],[0.74260303 0.8421665  0.26004975],[0.74804609 0.87655317 0.22216985]
[-0.30803331  0.290286   -0.00247382],[0.42359486 0.57206615 0.49938155],[0.4215684  0.57130751 0.49938145]
[-1.02415559 -0.3260793   0.31174602],[0.26421873 0.4191949  0.57731139],[0.22822768 0.41688526 0.57647872]
[ 2.17660506  0.38933257 -1.82903458],[0.89812888 0.59612202 0.13835332],[ 0.97308712  0.59505944 -0.00743916]
[-1.41708055 -0.48676076  0.69147838],[0.19511967 0.38065695 0.66629572],[0.1156081  0.37475577 0.66569746]
[-0.99162947 -0.16500825  0.5369739 ],[0.27059035 0.45884128 0.63110819],[0.2373427  0.45833952 0.62991836]
[ 1.15941106  1.84441073 -1.32235794],[0.76122568 0.86346952 0.21042626],[0.76968925 0.91007492 0.14318106]
[-1.02525544 -0.56851345  0.32292614],[0.26400497 0.36157991 0.58003721],[0.22791891 0.35302352 0.57916732]
[-0.62341793  0.60176042  0.2053178 ],[0.3490045  0.64605896 0.55114989],[0.33831577 0.64500837 0.55069712]
[-0.38696474 -0.11391418  0.31371846],[0.40444819 0.47155221 0.57779263],[0.40101269 0.47132681 0.57695333]
[-0.5560058   0.29667279  0.19171648],[0.36447214 0.57362895 0.54778285],[0.35636141 0.57284798 0.54737779]
[-1.05807779  1.25685571  0.32554261],[0.25767696 0.77848436 0.58067443],[0.21868762 0.79051863 0.57979598]
[-1.04313432 -0.30066501  0.20651463],[0.26054568 0.42539492 0.55144595],[0.22289448 0.42347776 0.55098893]
[-0.46492284  0.35206875  0.61814114],[0.38581864 0.58711915 0.64979566],[0.38052699 0.5861579  0.64880381]
[-1.19713574  0.15277184  0.38945536],[0.23198514 0.53811885 0.59615158],[0.17921906 0.53784287 0.59508871]
[-1.02272975  0.80174937  0.40395454],[0.26449602 0.69034856 0.59963741],[0.22862792 0.69079531 0.59854095]
[-1.76621705 -0.52174466  0.96579464],[0.14601341 0.37244437 0.72428049],[0.0116529  0.36548057 0.72745727]
[-0.54174655  0.42111703  0.11100964],[0.36778138 0.60375052 0.52772395],[0.36016102 0.60261916 0.52756756]
[-1.32369265 -0.12580381  0.73501786],[0.21020459 0.46859046 0.67590544],[0.1427944  0.46831165 0.6756507 ]
[ 0.11644437  1.13161494 -0.8419194 ],[0.52907824 0.75613681 0.30113069],[0.5289077  0.76369545 0.27888773]
[ 0.40848261  0.66336823 -0.91304648],[0.60072398 0.66001661 0.28637684],[0.59961778 0.6592412  0.25923357]
[0.41980503 0.73091491 0.53367209],[0.60343659 0.67500601 0.63033916],[0.60230771 0.67471518 0.62914593]
[ 3.10917963  1.74281944 -2.87838098],[0.95726981 0.85104483 0.05323267],[ 1.13228994  0.89014357 -0.3438714 ]
[ 0.88308306 -0.60578426 -1.31799962],[0.7074607  0.35302146 0.2111513 ],[0.70907323 0.34304932 0.14444325]
[-1.30894507 -0.601934    0.63978103],[0.21266343 0.35390135 0.65470396],[0.14706367 0.34408163 0.65380546]
[-1.56110942  0.48206088  0.58944304],[0.17348751 0.6182344  0.64323734],[0.07316671 0.61702948 0.64214911]
[ 1.0820443   0.70892659 -1.24327414],[0.74688065 0.67016393 0.22386659],[0.75294878 0.66969299 0.16599551]
[ 0.3863132   0.83525503 -0.88798469],[0.59539486 0.69746493 0.29152589],[0.59433973 0.69834899 0.26617608]
[1.31589488 1.8718464  1.0937034 ],[0.78849791 0.86667178 0.74907845],[0.80300003 0.91540447 0.75548304]
[ 2.11418164  1.54590768 -0.56269976],[0.89227394 0.82432189 0.36292302],[0.96149895 0.85062946 0.35457559]
[ 1.34918617  0.87191826 -1.99553051],[0.79399654 0.70514469 0.11967299],[ 0.80999199  0.70657594 -0.05861476]
[-0.21715848  0.83698711 -0.09929857],[0.44592273 0.69783029 0.47519574],[0.44500301 0.69873857 0.47502745]
[-0.57464544  0.4652278   0.34957513],[0.36016561 0.61425362 0.58651455],[0.35138538 0.6130604  0.58556074]
[-1.61188838 -0.40989065  0.83791   ],[0.1663266  0.39893834 0.69802486],[0.05805514 0.39500718 0.6989461 ]
[0.16688988 2.08833679 1.41475062],[0.5416259  0.8897644  0.80451416],[0.54130469 0.95666694 0.82366487]
[ 0.45228527  1.04830817 -0.92363255],[0.61118244 0.74044989 0.28421832],[0.61000289 0.74559279 0.25629541]
[-0.39930214 -0.41760804 -0.08027293],[0.40148002 0.39708927 0.47994254],[0.39778283 0.39298204 0.47983511]
[-0.39189383  1.40275603  0.01050418],[0.40326148 0.80262086 0.50262602],[0.39972283 0.82117314 0.50262439]
[ 0.16535767  0.64423764 -0.49961859],[0.54124548 0.65571076 0.37763031],[0.54092927 0.65483378 0.37135107]
[-1.17188053 -0.75915609  0.58583058],[0.23651524 0.31882952 0.64240792],[0.18643031 0.30156621 0.64130968]
[-0.84078375 -0.01742895  0.73672141],[0.30136974 0.49564287 0.6762785 ],[0.2792003  0.49563821 0.67603898]
[-0.58137176  0.05460857  0.65150111],[0.35861701 0.51364875 0.65734865],[0.34958716 0.51360741 0.65650847]
[-0.749083    0.29031856  0.25928835],[0.32102114 0.57207412 0.56446134],[0.30431237 0.57131537 0.56381363]
[ 0.27094472  0.46679907 -0.66644269],[0.56732482 0.61462586 0.33929384],[0.56663501 0.61343125 0.32672714]
[ 0.58112381  1.27015805 -0.08360085],[0.64132595 0.7807698  0.47911195],[0.64021538 0.79333999 0.47899495]
[-1.22348525 -0.4877744   0.70961342],[0.22732369 0.380418   0.67031573],[0.17167495 0.37448754 0.66985009]
[-0.15260304 -0.48816903 -0.40273308],[0.46192311 0.38032499 0.40065587],[0.46149993 0.37438311 0.39688382]
[ 1.68674689 -0.03607092 -2.19584261],[0.84379586 0.49098325 0.10012445],[ 0.87901     0.49096275 -0.12128652]
[-0.87827542  0.06530104  0.30292168],[0.29353528 0.51631946 0.57515659],[0.26886063 0.5162613  0.574354  ]
[-0.99810045  0.83281764  0.38584518],[0.26931506 0.69695037 0.59528211],[0.23553182 0.69780063 0.59422815]
[-0.48036358 -0.58126614 -0.27864011],[0.38216628 0.35864131 0.4307872 ],[0.37644787 0.34961541 0.42917537]
[ 1.62947452  0.75177659 -2.11960183],[0.83609764 0.67956569 0.10720618],[ 0.86754082  0.67946663 -0.09729113]
[-1.2776821  -0.63023314  0.3370504 ],[0.21794504 0.34745768 0.58347385],[0.1560924  0.33648381 0.58255856]
[-0.67570156 -0.90199294 -0.02970591],[0.33722135 0.28864112 0.49257407],[0.32422602 0.2622979  0.49256028]
[ 0.54205146  0.55854406 -0.6958529 ],[0.63228951 0.6361156  0.33273233],[0.63110557 0.63495644 0.31877361]
[ 1.60751894 -0.61115459 -1.64862874],[0.83306664 0.35179587 0.16129437],[0.86311798 0.3416087  0.04707316]
[ 2.36345839  1.76791682 -2.07419757],[0.91399804 0.85419842 0.11163009],[ 1.00707556  0.89509626 -0.08308383]
[-1.24811352 -0.49358343  0.70302789],[0.22302687 0.37904977 0.66885875],[0.16460481 0.37294977 0.66834325]
[-1.36407806 -0.78543249  0.72559117],[0.20357831 0.31315024 0.67383704],[0.13106985 0.29438831 0.67350055]
[ 1.91979124  0.32728173 -2.35935123],[0.87211515 0.58109783 0.08632535],[ 0.92466383  0.58021373 -0.17333588]
[-1.14636253 -0.31384933  0.52651939],[0.24115411 0.42217544 0.62867095],[0.19369716 0.42006015 0.62747151]
[ 2.8729696   2.38353149 -1.37947641],[0.94649394 0.91556285 0.2010931 ],[1.09443309 1.01066454 0.12658657]
[ 0.87309924 -0.72830837 -1.28511023],[0.70539018 0.32556605 0.2166816 ],[0.70684027 0.30996641 0.15394982]
[-1.20350928 -0.42733217  0.45459043],[0.23085152 0.39476356 0.61173009],[0.17739616 0.39042776 0.61054782]
[ 1.90198777  1.33015617 -1.16475274],[0.87011634 0.79086647 0.23780476],[0.92123358 0.80599931 0.18846208]
[-0.77464804 -0.42897827  0.08965343],[0.3154745  0.39437034 0.52239836],[0.2973368  0.3899951  0.52229279]
[-1.19369605 -0.79146249  0.66205466],[0.23259855 0.31185473 0.65972179],[0.18020233 0.29273819 0.65893892]
[ 2.51959627  0.46228349 -2.97139499],[0.92550422 0.61355574 0.04873501],[ 1.03467359  0.61236528 -0.37528657]
[ 0.40006129 -0.69486611 -1.0129518 ],[0.59870239 0.33295146 0.26640258],[0.59761459 0.31904089 0.23137098]
[-1.27825173 -0.90750631  0.58676979],[0.21784796 0.2875104  0.64262364],[0.15592816 0.26076991 0.64152796]
[ 0.04292106  0.44527011 -0.68491435],[0.51072862 0.60951407 0.33516535],[0.51070263 0.60834355 0.3217348 ]
[-0.29030857  0.36180029  0.4867061 ],[0.42792833 0.58947616 0.61933017],[0.42615867 0.58848658 0.61812328]
[0.08709401 0.3214893  0.39095606],[0.52175975 0.57968716 0.59651283],[0.52165972 0.578822   0.59544632]
[-1.05096312 -1.25159313  0.23720358],[0.2590402  0.22242448 0.5590244 ],[0.22069137 0.16360444 0.55845691]
[ 0.63786614 -0.54282568 -1.10229097],[0.65427094 0.3675305  0.24931088],[0.65336344 0.35987368 0.20620158]
[-0.57724038 -0.30565914  0.05242378],[0.35956783 0.42417465 0.51310294],[0.35069181 0.4221838  0.51306472]
[ 1.4826625   0.23298984 -2.10438174],[0.8149744  0.55798539 0.10867167],[ 0.8376913   0.5574332  -0.09252177]
[-0.56193846  0.2900458   0.42222695],[0.36309906 0.57200735 0.60401602],[0.35477876 0.57124955 0.6028826 ]
[-1.52938732 -0.67009491  0.46012524],[0.17808335 0.33847559 0.61304389],[0.08256779 0.32574086 0.61185558]
[ 2.49128612  2.07685104 -2.54712292],[0.92352868 0.88863278 0.07262001],[ 1.02972393  0.95451311 -0.23409826]
[ 1.20382131  0.83298199 -1.38190797],[0.76920387 0.69698509 0.20070275],[0.77921754 0.69783761 0.12587796]
[-1.41666477 -0.88943263  0.66370966],[0.19518498 0.29122693 0.66009322],[0.11572972 0.26577549 0.65931976]
[ 1.15946369  0.28931465 -1.43700075],[0.76123525 0.57182834 0.19201023],[0.76970058 0.57107312 0.10977524]
[-1.28082763 -0.16348708  0.49336931],[0.21740938 0.45921902 0.62089983],[0.1551853  0.45872731 0.61969113]
[-0.11260589  0.71670419 -0.19146847],[0.47187824 0.67188085 0.45227858],[0.47165833 0.67147108 0.45158298]
[-0.50746802  1.01107971  0.20096635],[0.37578727 0.7332314  0.55007317],[0.36927014 0.73743569 0.54963578]
[-1.63313904 -1.42869741  0.7584448 ],[0.1634008  0.19330172 0.68101599],[0.05170809 0.112208   0.68098262]
[-1.01110855 -0.41155705  0.48188935],[0.26676296 0.39853883 0.61819392],[0.23188776 0.39457005 0.61698908]
[ 1.31114789  0.9868238  -1.71947392],[0.78770518 0.72846011 0.15193894],[0.80200034 0.73209863 0.02578266]
[-1.12824987 -0.39491046  0.57276638],[0.24448423 0.40253577 0.63940126],[0.19884332 0.39893307 0.63827067]
[ 1.85561597 -0.30390643 -2.07703222],[0.86478513 0.4246028  0.11134929],[ 0.91225433  0.42263801 -0.083969  ]
[ 1.34886391  0.46025073 -1.74205169],[0.79394383 0.61307366 0.14905252],[0.80992447 0.61188522 0.01896592]
[-1.13186181  0.46893836  0.59542888],[0.24381768 0.61513245 0.64460981],[0.19781788 0.61393604 0.64353919]
[ 0.41291639  1.07094246 -0.65791025],[0.60178697 0.7447761  0.3412092 ],[0.6006716  0.75053185 0.32902975]
[-0.10442612  1.4247523   0.33315489],[0.47391717 0.80608235 0.58252681],[0.4737299  0.82573929 0.58162384]
[-1.59269851 -0.63041408  0.545557  ],[0.16900457 0.34741665 0.63310417],[0.06377505 0.33643515 0.63192476]
[-1.19235768 -0.25105412  0.28992697],[0.23283753 0.43756406 0.57197825],[0.18058483 0.43629105 0.57122088]
[-0.91254955 -0.53737348  0.23033627],[0.2864784  0.36879879 0.55733082],[0.25937141 0.36132508 0.55678825]
[ 0.26041372 -0.21401427 -0.40563931],[0.56473799 0.44669972 0.39995819],[0.5640862  0.4458094  0.39612202]
[ 0.60110045  0.08047572 -0.92533838],[0.64590803 0.52010808 0.28387141],[0.64485529 0.52002179 0.25582164]
[ 0.26591064  0.93205775 -0.89654749],[0.5660887  0.71749257 0.28976051],[0.56541703 0.71998346 0.26380617]
[ 3.30350934  2.74977366 -3.39818939],[0.96454901 0.93990057 0.0323521 ],[ 1.16217973  1.07402459 -0.52276271]
[-1.14730539 -0.47389319  1.04961265],[0.24098161 0.38369519 0.74070051],[0.19342901 0.37815808 0.74587786]
[-0.73217004 -0.06635319  0.16836223],[0.32471871 0.48341779 0.54199141],[0.3089164  0.48334566 0.54166537]
[-0.50847273  0.28358678  0.07260031],[0.37555162 0.57042535 0.51814211],[0.36900365 0.56969037 0.51807101]
[-1.73073784 -0.22849371  0.90899986],[0.15049323 0.44312381 0.71279546],[0.02238374 0.44209343 0.71485575]
[-0.78998276 -0.42117548  0.2022339 ],[0.31217237 0.3962355  0.55038686],[0.29314322 0.3920453  0.549945  ]
[-1.58836909 -0.22761348  0.62620528],[0.16961348 0.44334103 0.65162852],[0.06506398 0.44231951 0.65066932]
[-0.03617107 -0.25723468 -0.4589575 ],[0.49095822 0.43604361 0.38723316],[0.49093761 0.43469878 0.382101  ]
[-1.07567178 -0.11329348  0.51397502],[0.25432596 0.47170689 0.62573785],[0.21372601 0.4714841  0.6245312 ]
[ 1.04299431 -0.52866944 -1.36448952],[0.73942735 0.37082727 0.20351161],[0.74443102 0.36364027 0.13095015]
[-0.4455952   0.81637743  0.04202634],[0.39040856 0.69346683 0.51050504],[0.38562287 0.69409728 0.51048009]
[ 0.14295777  0.40093315 -0.43532118],[0.5356787  0.59891184 0.3928564 ],[0.53543289 0.59782208 0.38832714]
[-0.5059803   0.10849543  0.37277717],[0.37613631 0.52709728 0.59212987],[0.36966468 0.52694729 0.59110985]
[-1.01405328 -0.5089785   0.24887666],[0.26618737 0.37543302 0.56189999],[0.23106212 0.36886949 0.56129007]
[-1.44546553 -0.25402153  0.69781078],[0.19070041 0.43683391 0.66770221],[0.10729306 0.43552671 0.6671486 ]
[-0.12380731 -0.16114226 -0.3165669 ],[0.46908765 0.45980138 0.42151265],[0.46881825 0.45932493 0.41935506]
[ 2.25216458  0.27704137 -2.24423391],[0.90483708 0.56882073 0.095848  ],[ 0.98695746  0.56810906 -0.13660727]
[ 0.13039629  1.46574823 -0.24081728],[0.53255296 0.81241028 0.44008495],[0.53234403 0.83421079 0.43892579]
[-1.01360062 -0.83024112  0.44770486],[0.26627579 0.30359409 0.6100934 ],[0.23118905 0.28210022 0.60891962]
[-0.95693322 -0.35087351  0.17356153],[0.27749264 0.41317061 0.54328179],[0.24703088 0.41043494 0.54293853]
[ 1.6163289  -0.20548782 -1.52875328],[0.83428822 0.44880805 0.17817617],[0.86489444 0.44799467 0.08275538]
[ 0.30555119  0.68286361 -0.66821757],[0.57579899 0.66437752 0.33889607],[0.57498738 0.66372136 0.32624789]
[ 0.5901883   0.21855966 -0.87875043],[0.64340835 0.55442345 0.29343679],[0.64232224 0.55392339 0.26872936]
[-1.67563176  0.39934279  0.90687455],[0.15767476 0.59852975 0.71236017],[0.03897593 0.59744358 0.71438232]
[ 2.309297    0.60301442 -2.5737108 ],[0.90964409 0.64634565 0.07084963],[ 0.99733146  0.64529921 -0.24278751]
[ 2.4776243   1.16547991 -2.57228269],[0.92255824 0.76232702 0.0709437 ],[ 1.02732674  0.77099483 -0.24232025]
[ 0.20952609  1.08183088 -0.56396944],[0.55219073 0.7468403  0.36262951],[0.55172301 0.75290235 0.35423672]
[ 1.97076875  0.75514461 -2.32181501],[0.87769366 0.68029865 0.08933229],[ 0.93443325  0.6802325  -0.16131613]
[-0.40859473  0.30095457  0.01023611],[0.39924913 0.57467585 0.50255901],[0.39534707 0.57388004 0.50255746]
[ 0.76153515  1.61651861 -0.92196085],[0.68168694 0.83431444 0.28455853],[0.68168475 0.86493267 0.25675961]
[-0.85483364  1.2096198   0.33894379],[0.29841987 0.77023167 0.58393394],[0.27533048 0.78045725 0.58301271]
[-1.08523453 -0.82475417  0.43280955],[0.25251671 0.30475541 0.60654436],[0.21102536 0.28360817 0.60539253]
[ 2.12019468  0.46340478 -2.37600834],[0.89285056 0.61382157 0.08502057],[ 0.96262029  0.61263003 -0.17868332]
[-0.6952611   0.03890119  0.30333455],[0.33286374 0.50972407 0.57525747],[0.31893391 0.5097026  0.57445346]
[0.55295234 1.28678807 0.09895923],[0.63482028 0.78360304 0.52471964],[0.63365174 0.79685966 0.52459291]
[-1.30380088 -0.37744113  0.59018393],[0.21352603 0.40674421 0.64340735],[0.14855133 0.40350279 0.64232123]
[-1.45552255 -0.60271423  0.32388287],[0.18915309 0.35372297 0.58027025],[0.10434117 0.34387248 0.57939722]
[-1.42758101  0.10297611  0.38859948],[0.19347587 0.5257213  0.59594551],[0.11253493 0.52558497 0.59488473]
[-1.32063175 -0.56875156  0.56696683],[0.21071321 0.36152495 0.63806299],[0.14368104 0.35295993 0.63691994]
[ 2.1802454   1.23355935 -2.81997263],[0.89846146 0.77444094 0.05625439],[ 0.9737593   0.78556481 -0.32427684]
[-0.93211116 -0.00313302  0.56335654],[0.2824966  0.49921675 0.63722882],[0.25393974 0.4992166  0.63607858]
[-1.09629916 -0.77506055  0.43271222],[0.25043396 0.31538543 0.60652113],[0.20789713 0.29722408 0.60536946]
[-1.50137814 -0.50750322  0.750785  ],[0.18222007 0.37577901 0.67934972],[0.09084342 0.3692608  0.67924108]
